Date,weighted_score_mean,weighted_score_std,weighted_score_min,weighted_score_max,weighted_score_sum,composite_score_mean,composite_score_std,confidence_mean,confidence_min,importance_sum,bullish_signal_sum,bearish_signal_sum,finbert_score_mean,vader_score_mean,keyword_score_mean,Headlines_count,net_sentiment,sentiment_intensity,news_volume,sentiment_range
2024-01-25,0.0348,0.344,-0.2951,0.3914,0.1044,0.0348,0.344,0.8808,0.8011,3.0,1,1,-0.648,0.7942,0.6667,3,0,0.0348,3,0.6865
2024-01-29,-0.5673,,-0.5673,-0.5673,-0.5673,-0.5673,,0.8991,0.8991,1.0,0,1,-0.8751,-0.6486,0.0,1,-1,0.5673,1,0.0
2024-01-30,0.0088,0.3274,-0.2227,0.2403,0.0177,0.0088,0.3274,0.6529,0.4473,2.0,1,1,-0.0425,-0.5996,0.5,2,0,0.0088,2,0.463
2024-01-31,0.1605,0.3089,-0.2553,0.5119,0.8026,0.1605,0.3089,0.81,0.6649,5.0,3,1,0.0097,0.1783,0.4,5,2,0.1605,5,0.7672000000000001
2024-02-01,0.1654,0.3529,-0.0842,0.4149,0.3308,0.1654,0.3529,0.9229,0.8769,2.0,1,0,-0.0286,0.1485,0.5,2,1,0.1654,2,0.4991
2024-02-02,0.0703,0.3197,-0.164,0.4345,0.2109,0.0703,0.3197,0.7874,0.6554,3.0,1,1,-0.1669,-0.2312,0.6667,3,0,0.0703,3,0.5985
2024-02-05,0.324,,0.324,0.324,0.324,0.324,,0.9652,0.9652,1.0,1,0,-0.0032,0.128,1.0,1,1,0.324,1,0.0
2024-02-06,0.3008,0.2949,0.0287,0.6141,0.9023,0.3008,0.2949,0.8758,0.7777,3.0,2,0,0.2683,0.1596,0.449,3,2,0.3008,3,0.5854
2024-02-07,0.1476,0.346,-0.0971,0.3923,0.2952,0.1476,0.346,0.6913,0.5169,2.0,1,0,0.1867,0.2712,0.0,2,1,0.1476,2,0.4894
2024-02-08,0.2342,0.1067,0.1282,0.3812,0.9367,0.2342,0.1067,0.8235,0.6392,4.0,3,0,0.1042,-0.2146,0.75,4,3,0.2342,4,0.253
2024-02-09,0.3113,0.0253,0.2935,0.3292,0.6227,0.3113,0.0253,0.8679,0.8256,2.0,2,0,0.3438,-0.053,0.5,2,2,0.3113,2,0.03570000000000001
2024-02-12,0.434,,0.434,0.434,0.434,0.434,,0.9316,0.9316,1.0,1,0,-0.0458,0.7845,1.0,1,1,0.434,1,0.0
2024-02-13,0.0517,0.3821,-0.456,0.4324,0.2067,0.0517,0.3821,0.8803,0.7452,4.0,2,1,-0.2733,0.1916,0.5,4,1,0.0517,4,0.8884000000000001
2024-02-14,0.1531,0.2138,0.0019,0.3043,0.3062,0.1531,0.2138,0.8043,0.7707,2.0,1,0,-0.0399,0.1153,0.5,2,1,0.1531,2,0.3024
2024-02-15,0.1821,0.3182,-0.2704,0.4555,0.7283,0.1821,0.3182,0.8571,0.7015,4.0,3,1,-0.0625,0.3168,0.5,4,2,0.1821,4,0.7259
2024-02-16,0.0316,0.1003,-0.0393,0.1025,0.0632,0.0316,0.1003,0.7971,0.7112,2.0,0,0,0.0288,-0.6642,0.5,2,0,0.0316,2,0.14179999999999998
2024-02-19,0.4388,,0.4388,0.4388,0.4388,0.4388,,0.9516,0.9516,1.0,1,0,-0.0256,0.7579,1.0,1,1,0.4388,1,0.0
2024-02-20,0.1723,0.4794,-0.1667,0.5113,0.3446,0.1723,0.4794,0.8305,0.81,2.0,1,1,0.2993,-0.6369,0.5,2,0,0.1723,2,0.6779999999999999
2024-02-21,0.145,0.2876,-0.1671,0.3993,0.4351,0.145,0.2876,0.8881,0.7958,3.0,2,1,0.2524,-0.4058,0.3333,3,1,0.145,3,0.5664
2024-02-22,0.2468,0.2085,0.0994,0.3943,0.4937,0.2468,0.2085,0.9073,0.878,2.0,1,0,0.376,-0.4558,0.5,2,1,0.2468,2,0.2949
2024-02-23,0.102,0.0665,0.055,0.1491,0.204,0.102,0.0665,0.8266,0.6872,2.0,0,0,-0.1302,-0.6646,1.0,2,0,0.102,2,0.09410000000000002
2024-02-26,0.2956,,0.2956,0.2956,0.2956,0.2956,,0.9401,0.9401,1.0,1,0,-0.008,-0.0018,1.0,1,1,0.2956,1,0.0
